id,title,startyear,endyear,rating
18454,100th Anniversary Special (2014 - Present),2014,2099,Rated T
13379,15 Love (2011),2011,2011,
19244,1602 Witch Hunter Angela (2015 - Present),2015,2099,Rated T+
19501,1872 (2015 - Present),2015,2099,Rated T+
1023,All-New Official Handbook of the Marvel Universe A to Z (2006),2006,2006,Rated T+
1035,X-Factor (2005 - 2013),2005,2013,T+
1052,Stan Lee Meets Silver Surfer (2006),2006,2006,T
1055,Ultimate X-Men Annual (2005 - 2006),2005,2006,T
1056,Ultimate Fantastic Four Annual (2005 - 2006),2005,2006,A
1067,Civil War (2006 - 2007),2006,2007,T
10740,Punisher: In the Blood (2010 - 2011),2010,2011,
1075,What If? X-Men Age of Apocalypse (2006),2006,2006,T
1092,X-Men Fairy Tales (2006),2006,2006,T
1129,Spider-Man Family Featuring Amazing Friends (2006),2006,2006,All Ages
1130,What If? X-Men Deadly (2006),2006,2006,T
1132,X-Men: First Class (2006),2006,2006,A
1135,Ms. Marvel Special - One Shot (2007),2007,2007,Not in Oracle
1141,X-Men Annual (2007),2007,2007,T
11601,Deadpool (2010),2010,2010,
11793,Thor: The Rage of Thor (2010),2010,2010,
11825,Invaders Now! (2010 - 2011),2010,2011,
11942,Carnage (2010 - 2011),2010,2011,
12037,Thor: For Asgard (2010 - 2011),2010,2011,
12115,Captain America: Hail Hydra (2010 - 2011),2010,2011,
12212,Scarlet (2010 - Present),2010,2099,
12281,Thor: Asgard's Avenger (2010 - 2011),2010,2011,
12707,"Wolverine/Hercules: Myths, Monsters & Mutants (2010 - 2011)",2010,2011,
12761,Namor: The First Mutant (2010 - 2011),2010,2011,
12916,Daredevil (2011 - 2014),2011,2014,Rated T+
13191,Namor: The First Mutant Annual (2011),2011,2011,
13193,Uncanny X-Men Annual (2011),2011,2011,
13194,Batroc (2010),2010,2010,
13197,Incredible Hulks Annual (2011),2011,2011,
13202,Deadpool Annual (2011),2011,2011,
13205,Amazing Spider-Man Annual (2011),2011,2011,
13315,New Avengers Annual (2011),2011,2011,
13320,Avengers Annual (2012),2012,2012,
13356,Infernal Man-Thing (2010 - 2012),2010,2012,
13392,Untold Tales of the Punisher Max (2010 - 2012),2010,2012,
13403,Fantastic Four Annual (2012),2012,2012,
13405,Daredevil Annual (2012),2012,2012,
13418,Wolverine Annual (2012),2012,2012,
13428,X-Force: Force to Be Reckoned with (2011),2011,2011,
13603,Age of X: Alpha (2010),2010,2010,
13696,Tales of the Age of Apocalypse: By the Light (1997),1997,1997,
13697,Tales of the Age of Apocalypse: Sinister Bloodlines (1997),1997,1997,
13698,November 2010 Sneak Peeks (2010),2010,2010,
13744,S.H.I.E.L.D. (2011),2011,2011,
13759,Sigil (2011),2011,2011,
13768,"Avengers, Thor & Captain America: Official Index to the Marvel Universe (2011)",2011,2011,
13782,Mystic (2011),2011,2011,
13854,Fear Itself: Spider-Man (2011),2011,2011,
13855,Fear Itself: Youth in Revolt (2011),2011,2011,
13858,Fear Itself: Sin's Past (2011),2011,2011,
13865,Uncanny X-Force: The Apocalypse Solution (2011),2011,2011,
13879,Spider-Island: Deadly Hands of Kung Fu (2011),2011,2011,
13882,Skaar: King of the Savage Land (2011),2011,2011,
13892,Free Comic Book Day (Spider-Man) (2011),2011,2011,
13906,Emma (2011),2011,2011,
13907,Alpha Flight (2011 - 2012),2011,2012,
13910,Wolverine & the X-Men (2011 - 2014),2011,2014,Rated T+
13922,Silver Surfer (2010 - 2011),2010,2011,
14022,Fear Itself: Fearsome Four (2011),2011,2011,
14058,Super Hero Squad Online Game: Hero Up! (2011),2011,2011,
14065,Fear Itself: Wolverine (2011),2011,2011,
14068,Ultimate Comics Hawkeye (2011),2011,2011,
14102,Fear Itself: FF (2011),2011,2011,
14112,Marvel Zombies Christmas Carol (2011),2011,2011,
14151,Fear Itself: Uncanny X-Force (2011),2011,2011,
14248,Fury Max (2011 - 2013),2011,2013,
14278,Cars 2 (2011),2011,2011,
14637,The Contest (1982),1982,1982,
14643,Six Guns (2011 - 2012),2011,2012,
14683,Magneto: Not a Hero (2011 - 2012),2011,2012,
14800,Fear Itself: Monkey King (2011),2011,2011,
14803,Brilliant (2011 - Present),2011,2099,
14818,Annihilators: Earthfall (2011),2011,2011,
14919,Disney/Muppets Presents: Meet The Muppets (2011 - Present),2011,2099,All Ages
14963,John Carter: The World of Mars (2011 - 2012),2011,2012,
14972,John Carter of Mars: A Princess of Mars (2011 - 2012),2011,2012,
14987,Amazing Spider-Man: Hooky (2011 - 2012),2011,2012,
15010,Avengers: Solo (2011 - 2012),2011,2012,
15040,I Am Captain America (2011),2011,2011,
15107,"Wolverine, Punisher & Ghost Rider: Official Index to the Marvel Universe (2011 - 2012)",2011,2012,
15239,The Mighty Thor Annual (2012),2012,2012,
15302,Defenders: Strange Heroes (2011),2011,2011,
15305,Avengers Vs. X-Men (2012),2012,2012,
15308,Defenders: Tournament of Heroes (2011 - 2012),2011,2012,
15311,Hulk Smash Avengers (2011 - 2012),2011,2012,
15312,Thor: The Deviants Saga (2011 - 2012),2011,2012,
15331,Age of Apocalypse (2011 - 2013),2011,2013,
15370,Battle Scars (2011 - 2012),2011,2012,
15373,Avengers Assemble (2012 - Present),2012,2099,Rated T+
15435,Space: Punisher (2011 - 2012),2011,2012,
15468,Ant-Man: Season One (2011),2011,2011,
15486,Wolverine & the X-Men: Alpha & Omega (2011 - 2012),2011,2012,
15488,Road to Oz (2011 - Present),2011,2099,
15489,X-Terminators (1988),1988,1988,
15506,Marvel Universe Ultimate Spider-Man (2011 - Present),2011,2099,
15540,Amazing Spider-Man Annual (2012),2012,2012,
15552,X-Club (2011 - 2012),2011,2012,
15832,Disney/Pixar Presents: Toy Story (2011 - 2012),2011,2012,
16019,First X-Men (2011 - 2013),2011,2013,
16161,John Carter: The Gods of Mars (2011 - 2012),2011,2012,
16266,Muppets (2012),2012,2012,
16274,Supercrooks (2012),2012,2012,
16278,Marvel's Thor: The Dark World Prelude 2 (2012 - 2013),2012,2013,
16279,Marvel's Iron Man 3 Prelude (2012 - 2013),2012,2013,
16280,Captain Marvel (2012 - 2013),2012,2013,Rated T+
16288,Secret Service (2012 - Present),2012,2099,
16308,X-Treme X-Men (2012 - 2013),2012,2013,
16309,Hawkeye (2012 - Present),2012,2099,Rated T+
16310,"Monsters, Inc. (2012 - 2013)",2012,2013,
16311,Superior Carnage (2012 - Present),2012,2099,
16312,Amazing Spider-Man: Ends of the Earth (2012),2012,2012,
16321,Avengers Vs. X-Men Program (2012),2012,2012,
16325,Captain America and... (2012),2012,2012,
16341,New Warriors (1990 - 1996),1990,1996,
16349,Marvel Graphic Novel 1: The Death of Captain Marvel (1982),1982,1982,
16352,Starjammers (1995 - 1996),1995,1996,
16355,Lorna the Jungle Girl (1954 - 1957),1954,1957,
16356,Lorna the Jungle Queen (1953 - 1954),1953,1954,
16362,Marvel's The Avengers: Black Widow Strikes (2012),2012,2012,
16363,Juggernaut (1999),1999,1999,
16367,Silver Sable & the Wild Pack (1992),1992,1992,All Ages
16368,The Mutant Misadventures of Cloak and Dagger (1988 - 1990),1988,1990,
16370,Hit-Girl (2012 - Present),2012,2099,
16373,Marvel Previews (1939 - Present),1939,2099,
16392,Powers: Bureau  (2012 - Present),2012,2099,
16410,Guardians of the Galaxy (2013 - Present),2013,2099,Rated T
16411,Nova (2013 - Present),2013,2099,
16412,Minimum Carnage: Omega (2012),2012,2012,
16413,Minimum Carnage: Alpha (2012),2012,2012,
16414,Uncanny Avengers (2012 - Present),2012,2099,Rated T
16449,All-New X-Men (2012 - Present),2012,2099,Rated T
16450,A+X (2012 - Present),2012,2099,Rated T
16451,New Avengers (2013 - Present),2013,2099,Rated T+
16452,Avengers (2012 - Present),2012,2099,Rated T+
16455,Deadpool and Death Annual (1998),1998,1998,
16510,Avengers Vs. X-Men: Consequences (2012),2012,2012,Rated T+
16516,Captain America (2012 - Present),2012,2099,Rated T
16542,Deadpool (2012 - Present),2012,2099,Parental Advisory
16557,Fantastic Four (2012 - 2014),2012,2014,Rated T
16561,FF (2012 - Present),2012,2099,Rated T
16583,Indestructible Hulk (2012 - Present),2012,2099,Rated T
16593,Iron Man (2012 - Present),2012,2099,Rated T+
16664,Marvel Universe vs. The Avengers (2012 - 2013),2012,2013,Parental Advisory
16670,Marvel's Iron Man 2 Adaptation (2012),2012,2012,Rated T+
16715,Spaceknights (2012),2012,2012,Rated T+
16729,Thor: God of Thunder (2012 - Present),2012,2099,Rated T+
16791,X-Men Legacy (2012 - Present),2012,2099,Rated T+
16907,Cable and X-Force (2012 - Present),2012,2099,Parental Advisory
17113,Red She-Hulk (2012 - 2013),2012,2013,Rated T+
17124,Scarlet Spider (2012 - 2013),2012,2013,Rated T+
17154,Thunderbolts (2012 - Present),2012,2099,Parental Advisory
17229,Marvel Zombies Halloween (2012),2012,2012,
17230,Marvel Now! Point One (2012),2012,2012,
17233,A-Babies Vs. X-Babies (2012),2012,2012,
17285,Amazing Spider-Man (2014 - Present),2014,2099,Rated T+
17318,Age of Ultron (2013),2013,2013,Rated T+
17354,Daredevil: Dark Nights (2013 - Present),2013,2099,Rated T+
17490,Marvel's Thor Adaptation (2013),2013,2013,Rated T+
17533,Powers: Bureau (2013 - Present),2013,2099,Mature
17535,Punisher: Nightmare (2013 - Present),2013,2099,Parental Advisory
17539,Savage Wolverine (2013 - Present),2013,2099,Parental Advisory
17547,Secret Avengers (2013 - 2014),2013,2014,Rated T+
17554,Superior Spider-Man (2013 - Present),2013,2099,Rated T
17580,Ultimate Spider-Man 200 (2011 - 2012),2011,2012,Rated T+
17597,Uncanny X-Force (2013 - Present),2013,2099,Parental Advisory
17602,Uncanny X-Men (2013 - Present),2013,2099,Rated T+
17610,Untold Tales of Punisher Max (2012),2012,2012,Explicit Content
17615,Wolverine (2013 - 2014),2013,2014,Parental Advisory
17635,X-Men (2013 - Present),2013,2099,Rated T+
17647,Young Avengers (2013),2013,2013,Rated T+
17662,The Emerald City of Oz (2013 - Present),2013,2099,All Ages
17666,What If? Avengers Vs. X-Men (2013 - Present),2013,2099,Rated T+
17691,Marvel Knights: Hulk (2013 - Present),2013,2099,Rated T+
17693,Marvel Knights: Spider-Man (2013 - Present),2013,2099,Rated T+
17698,Uncanny Avengers Annual (2014 - Present),2014,2099,
17704,Marvel Universe Avengers Assemble (2013 - Present),2013,2099,All Ages
17719,Age of Ultron: AI (2013),2013,2013,
17724,Fantomex Max (2013 - Present),2013,2099,Explicit Content
17743,X-Termination (2013 - Present),2013,2099,
17754,Guardians of the Galaxy: Tomorrow's Avengers (2013 - Present),2013,2099,
17846,Deadpool Infinite Digital Comic (2014 - Present),2014,2099,
17887,Captain Universe: The Hero Who Could Be You (2013 - Present),2013,2099,
17889,Iron Man: The Coming of the Melter! (2013 - Present),2013,2099,
17897,Superior Spider-Man Annual (2013 - Present),2013,2099,
17926,Origin II (2013 - Present),2013,2099,Parental Advisory
17943,George Romero's Empire of the Dead: Act One (2014 - Present),2014,2099,Parental Guidance
17944,George Romero's Empire of the Dead: Act Three (2015 - Present),2015,2099,Parental Guidance
17945,George Romero's Empire of the Dead: Act Two (2014 - Present),2014,2099,Parental Guidance
17946,Kick-Ass 3 (2013 - Present),2013,2099,Mature
17951,Avengers: The Enemy Within (2013 - Present),2013,2099,
17954,Avengers A.I. (2013 - Present),2013,2099,Rated T+
17959,The Superior Foes of Spider-Man (2013 - Present),2013,2099,Rated T+
17964,X-Men: Battle of the Atom (2013),2013,2013,
17995,Deadpool Kills Deadpool (2013 - Present),2013,2099,Parental Advisory
18008,Wolverine: In The Flesh (2013 - Present),2013,2099,
18024,Marvel Knights: X-Men (2013 - Present),2013,2099,Rated T+
18045,Star-Lord: The Hollow Crown (2013 - Present),2013,2099,
18065,Inhuman (2014 - Present),2014,2099,Rated T+
18071,Punisher: The Trial of the Punisher (2013),2013,2013,Parental Advisory
18102,Superior Spider-Man Team-Up (2013 - Present),2013,2099,Rated T+
18136,All-New X-Factor (2014 - Present),2014,2099,Rated T+
18138,Black Widow (2014 - Present),2014,2099,Rated T+
18140,Infinity: The Hunt (2013 - Present),2013,2099,Rated T+
18142,Amazing X-Men (2013 - Present),2013,2099,Rated T+
18300,Cataclysm Point One (2013 - Present),2013,2099,
18308,Marvel's Captain America: The First Avenger Adaptation (2013 - Present),2013,2099,Rated T+
18309,Mighty Avengers (2013 - Present),2013,2099,Rated T+
18310,Silver Surfer (2014 - Present),2014,2099,Rated T+
18315,All-New Invaders (2014 - Present),2014,2099,Rated T+
18322,Cataclysm: The Ultimates' Last Stand (2013 - Present),2013,2099,Rated T+
18325,Cataclysm: Ultimate Comics Spider-Man (2013 - Present),2013,2099,Rated T+
18326,Cataclysm: Ultimate X-Men (2013 - Present),2013,2099,Rated T+
18327,Cataclysm: Ultimates (2013 - Present),2013,2099,Rated T+
18337,Bucky Barnes: Winter Soldier (2014 - Present),2014,2099,Rated T+
18338,Marvel Universe Hulk: Agents of S.M.A.S.H. (2013 - Present),2013,2099,All Ages
18339,Infinity: Heist (2013 - Present),2013,2099,Rated T+
18340,Loki: Agent of Asgard (2014 - Present),2014,2099,Rated T+
18341,Avengers Undercover (2014 - Present),2014,2099,Rated T+
18398,Avengers World (2014 - Present),2014,2099,Rated T+
18399,Deadpool Annual 2013 (2013 - Present),2013,2099,
18406,Wolverine & the X-Men (2014 - Present),2014,2099,Rated T+
18407,Magneto (2014 - Present),2014,2099,Parental Advisory
18455,Captain Marvel (2014 - Present),2014,2099,Rated T+
18457,Daredevil (2014 - Present),2014,2099,Rated T+
18458,Deadpool Vs. Carnage (2014 - Present),2014,2099,Parental Advisory
18459,Elektra (2014 - Present),2014,2099,Rated T+
18460,Marvel's Guardians of the Galaxy Prelude (2014 - Present),2014,2099,Rated T
18461,Harley-Davidson Presents Iron Man: Road Force Rides Again (2013),2013,2013,
18464,Longshot Saves the Marvel Universe (2013 - Present),2013,2099,Rated T+
18467,Moon Knight (2014 - Present),2014,2099,Rated T+
18468,Ms. Marvel (2014 - Present),2014,2099,Rated T+
18469,Night of the Living Deadpool (2014 - Present),2014,2099,Parental Advisory
18472,She-Hulk (2014 - Present),2014,2099,Rated T+
18473,Thunderbolts Annual 2013 (2013 - Present),2013,2099,
18474,Ultimate FF (2014 - Present),2014,2099,Rated T+
18478,Avengers: Endless Wartime/ONCE Sampler (2013),2013,2013,
18493,Avengers Annual (2013 - Present),2013,2099,
18499,Inhumanity (2013 - Present),2013,2099,
18503,The Amazing Spider-Man: The Movie Adaptation (2014 - Present),2014,2099,Rated T+
18508,Miles Morales: Ultimate Spider-Man (2014 - Present),2014,2099,Rated T+
18517,Wolverine (2014 - Present),2014,2099,Parental Advisory
18524,All-New Ultimates (2014 - Present),2014,2099,Rated T+
18527,Thunderbolts (2006 - 2012),2006,2012,
18530,Thor & the Mighty Avengers (2013 - Present),2013,2099,
18537,Deadpool Vs. X-Force (2014 - Present),2014,2099,Parental Advisory
18539,Iron Fist: The Living Weapon (2014 - Present),2014,2099,Rated T+
18556,Inhumanity: Awakening (2013 - Present),2013,2099,Rated T+
18560,Anthem BlueCross Presents:  Iron Man & Habit Heroes (2013),2013,2013,
18561,Revolutionary War: Alpha (2014 - Present),2014,2099,
18562,Revolutionary War: Dark Angel (2014 - Present),2014,2099,
18563,Revolutionary War: Death's Head II (2014 - Present),2014,2099,
18564,Revolutionary War: Knights of Pendragon (2014 - Present),2014,2099,
18565,Revolutionary War: Motormouth (2014 - Present),2014,2099,
18566,Revolutionary War: Omega (2014 - Present),2014,2099,
18567,Revolutionary War: Supersoldiers (2014 - Present),2014,2099,
18568,Revolutionary War: Warheads (2014 - Present),2014,2099,
18572,The Punisher (2014 - Present),2014,2099,Parental Advisory
18613,Star-Lord: Worlds on the Brink (2013 - Present),2013,2099,
18618,Inhumanity: Superior Spider-Man  (2014 - Present),2014,2099,
18619,New Warriors (2014 - Present),2014,2099,
18621,All-New Ghost Rider (2014 - Present),2014,2099,
18622,Painkiller Jane: The 22 Brides (2014 - Present),2014,2099,
18629,PAINKILLER JANE: THE 22 BRIDES  (2014 - Present),2014,2099,
18636,PAINKILLER JANE: THE 22 BRIDES (2014 - Present),2014,2099,
18647,Disney Kingdoms: Seekers of the Weird (2014 - Present),2014,2099,
18676,Star-Lord: Tears for Heaven (2014 - Present),2014,2099,
18677,Dexter Down Under (2014 - Present),2014,2099,Parental Advisory
18678,Disney Kingdoms: Seekers of the Weird (2014 - Present),2014,2099,All Ages
18681,Original Sin (2014 - Present),2014,2099,Rated T+
18688,Miracleman (2014 - Present),2014,2099,Mature
18700,Fantastic Four (2014 - Present),2014,2099,Rated T
18701,Winter Soldier: The Bitter March (2014 - Present),2014,2099,Rated T+
18729,All-New Marvel Now! Point One (2014),2014,2014,
18744,Deadpool: The Gauntlet (2014 - Present),2014,2099,
18761,Iron Patriot (2014 - Present),2014,2099,Rated T+
18762,X-Force (2014 - Present),2014,2099,Parental Advisory
18775,Star-Lord: Annihilation - Conquest (2014 - Present),2014,2099,
18794,All-New Doop (2014 - Present),2014,2099,Rated T+
18803,Savage Hulk (2014 - Present),2014,2099,Rated T
18806,Rocket Raccoon (2014 - Present),2014,2099,Rated T
18808,Deadpool Annual (2013 - Present),2013,2099,
18818,Secret Avengers (2014 - Present),2014,2099,Rated T+
18819,What If? Age of Ultron (2014 - Present),2014,2099,Rated T+
18826,Miracleman by Gaiman & Buckingham (2015 - Present),2015,2099,Mature
18827,Captain America: Homecoming (2014 - Present),2014,2099,
18834,Hulk (2014 - Present),2014,2099,Rated T
18864,Cyclops (2014 - Present),2014,2099,Rated T+
18875,Nightcrawler (2014 - Present),2014,2099,Rated T+
18884,Night Nurse (1972),1972,1972,
18887,Uncanny X-Men Special (2014 - Present),2014,2099,
18888,Deadly Hands of Kung Fu (2014 - Present),2014,2099,Rated T+
18889,Scarlet Spiders (2014 - Present),2014,2099,Rated T+
18891,Spider-Man 2099 (2014 - Present),2014,2099,Rated T
18892,Spider-Verse (2014 - Present),2014,2099,
18893,Spider-Verse Team-Up (2014 - Present),2014,2099,Rated T
18894,Spider-Woman (2014 - Present),2014,2099,Rated T+
18896,Survive! (2014 - Present),2014,2099,
18897,Guardians of the Galaxy Annual (2014 - Present),2014,2099,
18899,New Avengers Annual (2014 - Present),2014,2099,
18900,Amazing Spider-Man Annual (2014 - Present),2014,2099,
18901,Amazing X-Men Annual (2014 - Present),2014,2099,
18904,Avengers & X-Men: Axis (2014),2014,2014,
18921,Iron Man Special (2014 - Present),2014,2099,
18977,Captain America: Winter Soldier Director's Cut (2014),2014,2014,
18978,Deadpool's Art of War (2014 - Present),2014,2099,Parental Advisory
18980,Figment (2014 - Present),2014,2099,All Ages
18995,Giant-Size Spider-Man (2014 - Present),2014,2099,All Ages
19009,Thanos Annual (2014 - Present),2014,2099,
19022,Pirate's Booty & The Avengers (2014),2014,2014,
19023,Ms. Marvel Infinite (2014),2014,2014,
19028,Captain America: Triple Threat (2014),2014,2014,
19029,The United States of Murder Inc. (2014 - Present),2014,2099,
19030,Original Sins (2014 - Present),2014,2099,
19031,Spider-Man Spectacular (2014 - Present),2014,2099,
19033,Guardians of the Galaxy: Galaxy's Most Wanted (2014),2014,2014,
19044,Legendary Star-Lord (2014 - Present),2014,2099,
19046,Storm (2014 - Present),2014,2099,
19048,Star-Lord (1962),1962,1962,
19049,Thanos: A God Up There Listening (2014 - Present),2014,2099,
19061,Lexus Presents: Marvel's Agents of S.H.I.E.L.D in THE CHASE (2014),2014,2014,
19062,Rise of Incarnates (2014),2014,2014,Parental Advisory
19069,Nova Special (2014),2014,2014,
19070,Deadpool: Dracula's Gauntlet (2014),2014,2014,
19071,Wolverine Annual (2014 - Present),2014,2099,
19072,Guardians of the Galaxy Infinite (2014),2014,2014,
19073,Death of Wolverine (2014),2014,2014,
